               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.068861,            0.077231,            0.023426,             0.44362,             0.35875,             0.35235,             0.18446,            0.064319,             0.10557,            0.027389,           0.0089371,           0.0089371,           0.0089371
                  69,            0.068879,            0.076282,            0.023386,             0.43501,             0.36682,              0.3575,             0.18677,            0.064257,             0.10551,            0.027261,           0.0089065,           0.0089065,           0.0089065
                  70,            0.068831,            0.077319,            0.023474,             0.44332,              0.3547,             0.35371,             0.18489,            0.064412,             0.10559,            0.027426,           0.0088755,           0.0088755,           0.0088755
                  71,            0.068652,            0.076918,            0.023302,             0.44008,              0.3631,             0.35623,              0.1873,              0.0641,             0.10541,            0.027248,           0.0088442,           0.0088442,           0.0088442
                  72,            0.068819,            0.076259,            0.023518,             0.43683,             0.36238,             0.36054,             0.18869,            0.064321,             0.10559,            0.027246,           0.0088124,           0.0088124,           0.0088124
                  73,            0.068686,             0.07687,            0.023236,             0.42361,              0.3738,             0.35927,             0.19016,            0.064096,             0.10547,            0.027314,           0.0087804,           0.0087804,           0.0087804
                  74,            0.068714,             0.07688,            0.023263,             0.45828,             0.35032,             0.35216,             0.18533,            0.064347,             0.10561,            0.027429,           0.0087479,           0.0087479,           0.0087479
                  75,            0.068525,            0.076421,            0.023187,             0.44524,             0.35943,             0.35906,             0.18869,            0.064172,             0.10548,            0.027205,           0.0087151,           0.0087151,           0.0087151
                  76,            0.068576,            0.075734,             0.02322,             0.44138,             0.36958,             0.36105,             0.18993,            0.064099,             0.10563,            0.027264,            0.008682,            0.008682,            0.008682
                  77,            0.068068,             0.07629,            0.022944,             0.48873,              0.3473,             0.36289,             0.19041,            0.063995,             0.10515,            0.027143,           0.0086485,           0.0086485,           0.0086485
                  78,            0.068511,            0.076886,            0.023039,             0.43734,             0.37074,             0.36181,             0.19093,            0.063827,             0.10508,            0.027165,           0.0086146,           0.0086146,           0.0086146
                  79,            0.068493,            0.076625,            0.022946,             0.41262,             0.38461,              0.3576,             0.18852,            0.063989,             0.10555,            0.027288,           0.0085805,           0.0085805,           0.0085805
                  80,            0.068135,            0.075616,            0.022974,              0.4584,              0.3625,             0.36297,             0.19056,            0.063953,             0.10534,            0.027103,           0.0085459,           0.0085459,           0.0085459
                  81,            0.068413,            0.075928,            0.022763,             0.48434,             0.34529,             0.36396,             0.19333,            0.063844,             0.10517,            0.026943,           0.0085111,           0.0085111,           0.0085111
                  82,            0.068251,            0.076331,            0.022632,             0.43184,             0.38026,             0.36715,             0.19458,            0.063713,             0.10507,            0.027109,           0.0084759,           0.0084759,           0.0084759
                  83,            0.068205,            0.076115,            0.022769,             0.42722,             0.38272,             0.36614,             0.19408,            0.063702,             0.10517,            0.026897,           0.0084404,           0.0084404,           0.0084404
                  84,            0.067962,            0.076762,            0.022556,             0.42387,             0.38908,             0.36867,             0.19708,            0.063629,             0.10528,            0.026959,           0.0084046,           0.0084046,           0.0084046
                  85,            0.067858,             0.07616,            0.022636,             0.44304,             0.37596,               0.366,             0.19427,            0.063522,             0.10506,            0.027041,           0.0083684,           0.0083684,           0.0083684
                  86,            0.067646,            0.075461,            0.022379,             0.47454,             0.36286,              0.3731,             0.19835,            0.063595,             0.10502,            0.026725,           0.0083319,           0.0083319,           0.0083319
                  87,            0.067615,            0.075914,            0.022351,             0.42227,             0.40147,             0.36996,             0.19579,            0.063556,             0.10502,            0.026844,           0.0082952,           0.0082952,           0.0082952
                  88,            0.067889,            0.075458,             0.02254,             0.48503,             0.36187,             0.37429,              0.1983,            0.063554,             0.10471,            0.026806,           0.0082581,           0.0082581,           0.0082581
                  89,            0.067461,            0.075125,            0.022173,             0.45632,             0.36872,             0.37214,             0.19912,            0.063489,             0.10472,            0.026854,           0.0082207,           0.0082207,           0.0082207
                  90,            0.067582,            0.075604,            0.022301,             0.44542,             0.38579,             0.37678,              0.2009,            0.063502,             0.10446,            0.026564,            0.008183,            0.008183,            0.008183
                  91,            0.067305,            0.074772,            0.022071,             0.49776,             0.36626,             0.38052,             0.20261,            0.063334,             0.10452,            0.026445,            0.008145,            0.008145,            0.008145
                  92,            0.067579,             0.07469,            0.022159,             0.46193,             0.38065,             0.37726,             0.20144,            0.063429,             0.10464,             0.02654,           0.0081068,           0.0081068,           0.0081068
                  93,            0.067315,            0.074808,            0.022023,             0.49032,             0.36537,             0.38108,             0.20411,            0.063266,             0.10447,            0.026716,           0.0080682,           0.0080682,           0.0080682
                  94,             0.06766,             0.07562,            0.022112,             0.46681,             0.38358,             0.38116,             0.20481,             0.06313,             0.10456,            0.026336,           0.0080294,           0.0080294,           0.0080294
                  95,            0.067386,            0.075912,            0.021719,              0.4941,             0.36643,             0.37866,             0.20183,            0.063264,             0.10442,            0.026582,           0.0079903,           0.0079903,           0.0079903
                  96,            0.067157,            0.073917,            0.021959,              0.4721,             0.37522,             0.38048,             0.20292,            0.063182,              0.1045,            0.026439,           0.0079509,           0.0079509,           0.0079509
